query_id;plan_id;operator;child_plan;l_input_rows;r_input_rows;output_rows;execution_time;peak_mem;dop;query_dop
query_1;0;LocalMerge;1;3886183;0;3886183;;;;64
query_1;1;PartialSort;2;3886183;0;3886183;4940.0;;;64
query_1;2;RemoteSource;6;3886183;0;3886183;698.0;;;64
query_1;3;Aggregate;4;4556392;0;3886183;22280.0;;;64
query_1;4;LocalExchange;5;4556392;0;4556392;6840.0;;;64
query_1;5;RemoteSource;12;4556392;0;4556392;1000.0;;;64
query_1;6;Aggregate;7;11470207;0;4556392;10930.0;;;64
query_1;7;Project;8;11470207;0;11470207;314.0;;;64
query_1;8;InnerJoin;9,10;11470207;25;11470207;460.0;;;64
query_1;9;RemoteSource;16;11470207;0;11470207;2270.0;;;64
query_1;10;LocalExchange;11;25;0;25;59.0;;;64
query_1;11;RemoteSource;;25;0;25;;;;64
query_1;12;InnerJoin;13,14;5735201;148067261;11470207;97200.0;;;64
query_1;13;RemoteSource;20;5735201;0;5735201;1200.0;;;64
query_1;14;LocalExchange;15;148067261;0;148067261;27170.0;;;64
query_1;15;RemoteSource;23;148067261;0;148067261;5130.0;;;64
query_1;16;InnerJoin;17,18;15000000;5735201;5735201;11130.0;;;64
query_1;17;RemoteSource;21;15000000;0;15000000;3330.0;;;64
query_1;18;LocalExchange;19;5735201;0;5735201;882.0;;;64
query_1;19;RemoteSource;22;5735201;0;5735201;157.0;;;64
query_1;20;TableScan;;15000000;0;15000000;13710.0;;;64
query_1;21;ScanFilterProject;;5735201;0;5735201;703.0;;;64
query_1;22;ScanFilterProject;;148067261;0;148067261;48180.0;;;64
query_1;23;TableScan;;25;0;25;13.0;;;64
query_2;0;LocalMerge;1;96163;0;96163;;;;64
query_2;1;PartialSort;2;96163;0;96163;35.0;;;64
query_2;2;RemoteSource;10;96163;0;96163;5.0;;;64
query_2;3;FilterProject;4;2996326;0;96163;188.0;;;64
query_2;4;CrossJoin;5,8;2996326;4;2996326;54.0;;;64
query_2;5;Aggregate;6;3150955;0;2996326;2290.0;;;64
query_2;6;LocalExchange;7;3150955;0;3150955;530.0;;;64
query_2;7;RemoteSource;16;3150955;0;3150955;57.0;;;64
query_2;8;LocalExchange;9;4;0;4;24.0;;;64
query_2;9;RemoteSource;30;4;0;4;8.0;;;64
query_2;10;Aggregate;11;3180720;0;3150955;1470.0;;;64
query_2;11;Project;12;3180720;0;3180720;356.0;;;64
query_2;12;InnerJoin;13,14;80000000;1;3180720;518.0;;;64
query_2;13;RemoteSource;20;80000000;0;80000000;2670.0;;;64
query_2;14;LocalExchange;15;1;0;1;53.0;;;64
query_2;15;RemoteSource;23;1;0;1;;;;64
query_2;16;InnerJoin;17,18;80000000;1000000;80000000;12830.0;;;64
query_2;17;RemoteSource;21;80000000;0;80000000;5750.0;;;64
query_2;18;LocalExchange;19;1000000;0;1000000;147.0;;;64
query_2;19;RemoteSource;22;1000000;0;1000000;21.0;;;64
query_2;20;TableScan;;80000000;0;80000000;13510.0;;;64
query_2;21;TableScan;;1000000;0;1000000;104.0;;;64
query_2;22;ScanFilterProject;;1;0;1;6.0;;;64
query_2;23;EnforceSingleRow;24;1;0;1;;;;64
query_2;24;LocalExchange;25;1;0;1;7.0;;;64
query_2;25;Project;26;1;0;1;3.0;;;64
query_2;26;LocalExchange;27;1;0;1;11.0;;;64
query_2;27;Aggregate;28;768;0;1;;;;64
query_2;28;LocalExchange;29;768;0;768;11.0;;;64
query_2;29;RemoteSource;36;768;0;768;5.0;;;64
query_2;30;Aggregate;31;3180720;0;768;193.0;;;64
query_2;31;Project;32;3180720;0;3180720;242.0;;;64
query_2;32;InnerJoin;33,34;80000000;1;3180720;303.0;;;64
query_2;33;RemoteSource;40;80000000;0;80000000;1180.0;;;64
query_2;34;LocalExchange;35;1;0;1;51.0;;;64
query_2;35;RemoteSource;;1;0;1;;;;64
query_2;36;InnerJoin;37,38;80000000;1000000;80000000;10990.0;;;64
query_2;37;RemoteSource;41;80000000;0;80000000;4570.0;;;64
query_2;38;LocalExchange;39;1000000;0;1000000;214.0;;;64
query_2;39;RemoteSource;42;1000000;0;1000000;18.0;;;64
query_2;40;TableScan;;80000000;0;80000000;11310.0;;;64
query_2;41;TableScan;;1000000;0;1000000;94.0;;;64
query_2;42;ScanFilterProject;;1;0;1;5.0;;;64
query_3;0;LocalMerge;1;2;0;2;;;;64
query_3;1;PartialSort;2;2;0;2;17.0;;;64
query_3;2;RemoteSource;6;2;0;2;7.0;;;64
query_3;3;Aggregate;4;152;0;2;54.0;;;64
query_3;4;LocalExchange;5;152;0;152;100.0;;;64
query_3;5;RemoteSource;12;152;0;152;9.0;;;64
query_3;6;Aggregate;7;3127595;0;152;488.0;;;64
query_3;7;Project;8;3127595;0;3127595;5900.0;;;64
query_3;8;InnerJoin;9,10;150000000;3127595;3127595;12300.0;;;64
query_3;9;RemoteSource;13;150000000;0;150000000;8870.0;;;64
query_3;10;LocalExchange;11;3127595;0;3127595;814.0;;;64
query_3;11;RemoteSource;;3127595;0;3127595;120.0;;;64
query_3;12;TableScan;;150000000;0;150000000;26260.0;;;64
query_3;13;ScanFilterProject;;26078855;0;3127595;4080.0;;;64
query_4;0;LocalMerge;1;45;0;45;;;;64
query_4;1;PartialSort;2;45;0;45;15.0;;;64
query_4;2;RemoteSource;6;45;0;45;4.0;;;64
query_4;3;Aggregate;4;28939;0;45;74.0;;;64
query_4;4;LocalExchange;5;28939;0;28939;153.0;;;64
query_4;5;RemoteSource;15;28939;0;28939;28.0;;;64
query_4;6;Aggregate;7;15000000;0;28939;959.0;;;64
query_4;7;Project;8;15000000;0;15000000;58.0;;;64
query_4;8;Aggregate;9;15000018;0;15000000;18230.0;;;64
query_4;9;LocalExchange;10;15000018;0;15000018;1680.0;;;64
query_4;10;Aggregate;11;153389148;0;15000018;5970.0;;;64
query_4;11;LeftJoin;12,13;15000000;148388963;153389148;105600.0;;;64
query_4;12;RemoteSource;16;15000000;0;15000000;288.0;;;64
query_4;13;LocalExchange;14;148388963;0;148388963;16410.0;;;64
query_4;14;RemoteSource;;148388963;0;148388963;1690.0;;;64
query_4;15;TableScan;;15000000;0;15000000;723.0;;;64
query_4;16;ScanFilterProject;;150000000;0;148388963;18190.0;;;64
query_5;0;Project;1;1;0;1;10.0;;;64
query_5;1;LocalExchange;2;1;0;1;12.0;;;64
query_5;2;Aggregate;3;768;0;1;;;;64
query_5;3;LocalExchange;4;768;0;768;8.0;;;64
query_5;4;RemoteSource;11;768;0;768;5.0;;;64
query_5;5;Aggregate;6;7723068;0;768;294.0;;;64
query_5;6;Project;7;7723068;0;7723068;1500.0;;;64
query_5;7;InnerJoin;8,9;7723068;20000000;7723068;16370.000000000002;;;64
query_5;8;RemoteSource;12;7723068;0;7723068;410.0;;;64
query_5;9;LocalExchange;10;20000000;0;20000000;5670.0;;;64
query_5;10;RemoteSource;;20000000;0;20000000;824.0;;;64
query_5;11;ScanFilterProject;;7723068;0;7723068;2220.0;;;64
query_5;12;TableScan;;20000000;0;20000000;2660.0;;;64
query_6;0;LocalMerge;1;27840;0;27840;;;;64
query_6;1;PartialSort;2;27840;0;27840;34.0;;;64
query_6;2;RemoteSource;6;27840;0;27840;8.0;;;64
query_6;3;Aggregate;4;9090769;0;27840;8950.0;;;64
query_6;4;LocalExchange;5;9090769;0;9090769;3750.0;;;64
query_6;5;RemoteSource;14;9090769;0;9090769;606.0;;;64
query_6;6;Aggregate;7;11859113;0;9090769;21610.0;;;64
query_6;7;Aggregate;8;11861546;0;11859113;9580.0;;;64
query_6;8;LocalExchange;9;11861546;0;11861546;7010.0;;;64
query_6;9;Aggregate;10;11861601;0;11861546;3730.0;;;64
query_6;10;FilterProject;11;11861601;0;11861601;24.0;;;64
query_6;11;SemiJoin;12,13;11867328;485;11861601;493.0;;;64
query_6;12;RemoteSource;18;11867328;0;11867328;1300.0;;;64
query_6;13;RemoteSource;;485;0;485;3.0;;;64
query_6;14;InnerJoin;15,16;80000000;2966832;11867328;9950.0;;;64
query_6;15;RemoteSource;19;80000000;0;80000000;2720.0;;;64
query_6;16;LocalExchange;17;2966832;0;2966832;1180.0;;;64
query_6;17;RemoteSource;20;2966832;0;2966832;195.0;;;64
query_6;18;TableScan;;80000000;0;80000000;7210.0;;;64
query_6;19;ScanFilter;;3068588;0;2966832;615.0;;;64
query_6;20;ScanFilterProject;;1000000;0;485;41.0;;;64
query_7;0;Project;1;1;0;1;10.0;;;64
query_7;1;LocalExchange;2;1;0;1;10.0;;;64
query_7;2;Aggregate;3;768;0;1;;;;64
query_7;3;LocalExchange;4;768;0;768;8.0;;;64
query_7;4;RemoteSource;14;768;0;768;4.0;;;64
query_7;5;Aggregate;6;53364;0;768;326.0;;;64
query_7;6;InnerJoin;7,11;594647;20000000;53364;13240.0;;;64
query_7;7;InnerJoin;8,9;600037902;19828;594647;7990.0;;;64
query_7;8;RemoteSource;15;600037902;0;600037902;8910.0;;;64
query_7;9;LocalExchange;10;19828;0;19828;155.0;;;64
query_7;10;RemoteSource;16;19828;0;19828;4.0;;;64
query_7;11;Aggregate;12;599860578;0;20000000;185400.0;;;64
query_7;12;LocalExchange;13;599860578;0;599860578;118200.0;;;64
query_7;13;RemoteSource;;599860578;0;599860578;12280.0;;;64
query_7;14;TableScan;;600037902;0;600037902;141600.0;;;64
query_7;15;ScanFilterProject;;19828;0;19828;75.0;;;64
query_7;16;Aggregate;17;600037902;0;599860578;155399.99999999994;;;64
query_7;17;TableScan;;600037902;0;600037902;22400.0;;;64
query_8;0;LocalMerge;1;901;0;901;;;;64
query_8;1;PartialSort;2;901;0;901;12.0;;;64
query_8;2;RemoteSource;13;901;0;901;5.0;;;64
query_8;3;Aggregate;4;901;0;901;791.0;;;64
query_8;4;LocalExchange;5;901;0;901;199.0;;;64
query_8;5;Aggregate;6;6307;0;901;154.0;;;64
query_8;6;FilterProject;7;6307;0;6307;37.0;;;64
query_8;7;SemiJoin;8,12;600037902;2500;6307;16300.0;;;64
query_8;8;InnerJoin;9,10;150000000;600037902;600037902;380400.0;;;64
query_8;9;RemoteSource;17;150000000;0;150000000;7370.0;;;64
query_8;10;LocalExchange;11;600037902;0;600037902;72000.0;;;64
query_8;11;RemoteSource;20;600037902;0;600037902;15170.0;;;64
query_8;12;RemoteSource;24;2500;0;2500;27.0;;;64
query_8;13;InnerJoin;14,15;15000000;150000000;150000000;156600.0;;;64
query_8;14;RemoteSource;18;15000000;0;15000000;893.0;;;64
query_8;15;LocalExchange;16;150000000;0;150000000;28910.0;;;64
query_8;16;RemoteSource;19;150000000;0;150000000;9950.0;;;64
query_8;17;TableScan;;15000000;0;15000000;2390.0;;;64
query_8;18;TableScan;;150000000;0;150000000;24590.0;;;64
query_8;19;TableScan;;600037902;0;600037902;64800.00000000002;;;64
query_8;20;FilterProject;21;150000000;0;2500;1760.0;;;64
query_8;21;Aggregate;22;150000658;0;150000000;108600.0;;;64
query_8;22;LocalExchange;23;150000658;0;150000658;18160.0;;;64
query_8;23;RemoteSource;;150000658;0;150000658;2680.0;;;64
query_8;24;Aggregate;25;600037902;0;150000658;96000.0;;;64
query_8;25;TableScan;;600037902;0;600037902;17080.0;;;64
query_9;0;Aggregate;1;768;0;1;;;;64
